Date,Canton,Blood_Type,Blood_in_Liter,Demand_in_Liter
2023-01-01,ZH,A+,77.69,43.98
2023-01-01,ZH,A-,34.41,23.24
2023-01-01,ZH,B+,27.91,15.3
2023-01-01,ZH,B-,19.53,40.32
2023-01-01,ZH,AB+,23.12,15.84
2023-01-01,ZH,AB-,21.1,15.89
2023-01-01,ZH,0+,82.9,41.49
2023-01-01,ZH,0-,34.36,22.58
2023-01-01,BE,A+,16.57,13.74
2023-01-01,BE,A-,32.81,22.22
2023-01-01,BE,B+,35.02,23.46
2023-01-01,BE,B-,14.8,10.12
2023-01-01,BE,AB+,18.22,14.33
2023-01-01,BE,AB-,13.56,12.2
2023-01-01,BE,0+,29.55,18.32
2023-01-01,BE,0-,36.29,27.99
2023-01-01,LU,A+,23.97,12.31
2023-01-01,LU,A-,32.35,17.27
2023-01-01,LU,B+,25.03,17.09
2023-01-01,LU,B-,25.46,17.79
2023-01-01,LU,AB+,17.91,16.9
2023-01-01,LU,AB-,19.8,12.94
2023-01-01,LU,0+,19.43,15.09
2023-01-01,LU,0-,27.31,23.94
2023-01-01,UR,A+,9.84,7.86
2023-01-01,UR,A-,6.17,5.14
2023-01-01,UR,B+,9.67,5.27
2023-01-01,UR,B-,9.1,6.07
2023-01-01,UR,AB+,5.46,4.34
2023-01-01,UR,AB-,6.1,4.79
2023-01-01,UR,0+,12.31,6.79
2023-01-01,UR,0-,4.36,8.4
2023-01-01,SZ,A+,8.29,6.33
2023-01-01,SZ,A-,13.95,8.1
2023-01-01,SZ,B+,3.72,10.58
2023-01-01,SZ,B-,16.55,10.31
2023-01-01,SZ,AB+,12.49,7.14
2023-01-01,SZ,AB-,7.19,4.93
2023-01-01,SZ,0+,16.63,11.63
2023-01-01,SZ,0-,6.62,6.71
2023-01-01,OW,A+,6.35,3.26
2023-01-01,OW,A-,3.3,2.38
2023-01-01,OW,B+,1.52,3.05
2023-01-01,OW,B-,3.36,2.12
2023-01-01,OW,AB+,1.34,4.33
2023-01-01,OW,AB-,2.37,1.76
2023-01-01,OW,0+,2.46,4.18
2023-01-01,OW,0-,4.72,2.99
2023-01-01,NW,A+,9.86,4.98
2023-01-01,NW,A-,5.99,3.3
2023-01-01,NW,B+,9.74,5.45
2023-01-01,NW,B-,5.28,4.88
2023-01-01,NW,AB+,6.61,3.46
2023-01-01,NW,AB-,7.78,5.74
2023-01-01,NW,0+,1.83,5.71
2023-01-01,NW,0-,3.72,3.64
2023-01-01,GL,A+,9.51,5.97
2023-01-01,GL,A-,1.79,3.87
2023-01-01,GL,B+,6.86,3.48
2023-01-01,GL,B-,1.12,2.81
2023-01-01,GL,AB+,7.27,4.74
2023-01-01,GL,AB-,3.81,2.39
2023-01-01,GL,0+,3.32,2.03
2023-01-01,GL,0-,4.65,3.55
2023-01-01,ZG,A+,7.79,5.79
2023-01-01,ZG,A-,11.55,8.42
2023-01-01,ZG,B+,8.38,5.26
2023-01-01,ZG,B-,8.24,5.61
2023-01-01,ZG,AB+,5.88,3.87
2023-01-01,ZG,AB-,8.51,4.77
2023-01-01,ZG,0+,10.75,5.38
2023-01-01,ZG,0-,8.43,5.12
2023-01-01,FR,A+,5.09,9.36
2023-01-01,FR,A-,7.9,5.72
2023-01-01,FR,B+,11.17,9.75
2023-01-01,FR,B-,20.17,11.2
2023-01-01,FR,AB+,17.68,9.02
2023-01-01,FR,AB-,17.66,11.91
2023-01-01,FR,0+,11.55,7.99
2023-01-01,FR,0-,10.71,7.05
2023-01-01,SO,A+,21.54,13.76
2023-01-01,SO,A-,22.1,11.29
2023-01-01,SO,B+,19.83,15.72
2023-01-01,SO,B-,23.9,17.54
2023-01-01,SO,AB+,22.22,11.57
2023-01-01,SO,AB-,14.31,7.42
2023-01-01,SO,0+,24.18,13.1
2023-01-01,SO,0-,12.59,12.5
2023-01-01,BS,A+,3.74,8.0
2023-01-01,BS,A-,14.92,7.49
2023-01-01,BS,B+,19.79,14.29
2023-01-01,BS,B-,19.71,11.63
